capture_id,subject_id,posture,calibration_id,status,c1_valid_joints,c2_valid_joints,head_visible,shoulders_visible,hips_visible,multicam_consistent,reason
CAP000095,S003,leaning_backward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000096,S003,leaning_backward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000097,S003,leaning_backward,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000098,S003,leaning_left,CAL_004,PASS,17,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000099,S003,leaning_left,CAL_004,PASS,17,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000100,S003,leaning_left,CAL_004,PASS,17,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000101,S003,leaning_left,CAL_004,PASS,17,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000102,S003,leaning_left,CAL_004,PASS,17,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000103,S003,leaning_right,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000104,S003,leaning_right,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000105,S003,leaning_right,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000106,S003,leaning_right,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000107,S003,leaning_right,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000108,S003,slouching,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000109,S003,slouching,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000110,S003,slouching,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000111,S003,slouching,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000112,S003,slouching,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000113,S003,forward_head,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000114,S003,forward_head,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000115,S003,forward_head,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000116,S003,forward_head,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000117,S003,forward_head,CAL_004,PASS,16,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000118,S003,reject,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000119,S003,reject,CAL_004,REVIEW,16,9,False,True,True,True,Slight limb occlusion but torso and shoulders fully preserved
CAP000120,S003,reject,CAL_004,PASS,17,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000121,S003,reject,CAL_004,PASS,0,0,False,False,False,True,Correctly rejected negative sample (empty chair / out of frame)
CAP000122,S004,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000123,S004,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000124,S004,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000125,S004,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000126,S004,upright,CAL_004,PASS,17,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000127,S004,leaning_forward,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000128,S004,leaning_forward,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000129,S004,leaning_forward,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000130,S004,leaning_forward,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000131,S004,leaning_forward,CAL_004,PASS,16,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000132,S004,leaning_backward,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000133,S004,leaning_backward,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000134,S004,leaning_backward,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000135,S004,leaning_backward,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000136,S004,leaning_backward,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000137,S004,leaning_left,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000138,S004,leaning_left,CAL_004,PASS,16,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000139,S004,leaning_left,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000140,S004,leaning_left,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000141,S004,leaning_left,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000142,S004,leaning_right,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000143,S004,leaning_right,CAL_004,PASS,15,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000144,S004,leaning_right,CAL_004,PASS,15,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000145,S004,leaning_right,CAL_004,PASS,15,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000146,S004,leaning_right,CAL_004,PASS,15,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000147,S004,slouching,CAL_004,PASS,15,15,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000148,S004,slouching,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000149,S004,slouching,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000150,S004,slouching,CAL_004,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000151,S004,slouching,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000152,S004,forward_head,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000153,S004,forward_head,CAL_004,PASS,16,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000154,S004,forward_head,CAL_004,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000155,S004,forward_head,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000156,S004,forward_head,CAL_004,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000157,S005,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000158,S005,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000159,S005,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000160,S005,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000161,S005,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000162,S005,leaning_forward,CAL_005,PASS,15,11,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000163,S005,leaning_forward,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000164,S005,leaning_forward,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000165,S005,leaning_forward,CAL_005,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000166,S005,leaning_forward,CAL_005,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000167,S005,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000168,S005,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000169,S005,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000170,S005,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000171,S005,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000172,S005,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000173,S005,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000174,S005,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000175,S005,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000176,S005,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000177,S005,leaning_right,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000178,S005,leaning_right,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000179,S005,leaning_right,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000180,S005,leaning_right,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000181,S005,leaning_right,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000182,S005,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000183,S005,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000184,S005,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000185,S005,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000186,S005,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000187,S005,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000188,S005,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000189,S005,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000190,S005,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000191,S005,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000192,S005,reject,CAL_005,PASS,0,0,False,False,False,True,Correctly rejected negative sample (empty chair / out of frame)
CAP000193,S006,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000194,S006,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000195,S006,upright,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000196,S006,upright,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000197,S006,upright,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000198,S006,leaning_forward,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000199,S006,leaning_forward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000200,S006,leaning_forward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000201,S006,leaning_forward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000202,S006,leaning_forward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000203,S006,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000204,S006,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000205,S006,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000206,S006,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000207,S006,leaning_backward,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000208,S006,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000209,S006,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000210,S006,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000211,S006,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000212,S006,leaning_left,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000213,S006,leaning_right,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000214,S006,leaning_right,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000215,S006,leaning_right,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000216,S006,leaning_right,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000217,S006,leaning_right,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000218,S006,slouching,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000219,S006,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000220,S006,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000221,S006,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000222,S006,slouching,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000223,S006,forward_head,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000224,S006,forward_head,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000225,S006,forward_head,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000226,S006,forward_head,CAL_005,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000227,S006,forward_head,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000228,S006,reject,CAL_005,PASS,15,13,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000229,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000230,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000231,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000232,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000233,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000234,S007,upright,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000235,S007,leaning_forward,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000236,S007,leaning_forward,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000237,S007,leaning_forward,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000238,S007,leaning_forward,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000239,S007,leaning_forward,CAL_006,PASS,15,12,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000240,S007,leaning_backward,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000241,S007,leaning_backward,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000242,S007,leaning_backward,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000243,S007,leaning_backward,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000244,S007,leaning_backward,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
CAP000245,S007,leaning_left,CAL_006,PASS,15,14,True,True,True,True,Full anatomical keypoints valid and multicam consistent
