image_id,capture_id,subject_id,camera_id,view_role,posture,candidates_count,status,target_area_ratio,target_conf,mean_kpt_conf,torso_kpts_valid,notes
S001_SE01_CAP000020_CAM01,CAP000020,S001,CAM01,frontal,leaning_forward,2,multiple_candidates,0.3043000102043152,0.9487,0.6595,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000020_CAM02,CAP000020,S001,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3488999903202057,0.8999,0.5583,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000021_CAM01,CAP000021,S001,CAM01,frontal,leaning_backward,2,multiple_candidates,0.2831999957561493,0.9447,0.7284,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000021_CAM02,CAP000021,S001,CAM02,lateral,leaning_backward,2,multiple_candidates,0.476500004529953,0.8998,0.7346,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000022_CAM01,CAP000022,S001,CAM01,frontal,leaning_backward,2,multiple_candidates,0.27390000224113464,0.9307,0.7369,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000022_CAM02,CAP000022,S001,CAM02,lateral,leaning_backward,2,multiple_candidates,0.4778999984264374,0.9038,0.7189,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000023_CAM01,CAP000023,S001,CAM01,frontal,leaning_backward,2,multiple_candidates,0.26179999113082886,0.9157,0.7442,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000023_CAM02,CAP000023,S001,CAM02,lateral,leaning_backward,2,multiple_candidates,0.4700999855995178,0.862,0.7057,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000024_CAM01,CAP000024,S001,CAM01,frontal,leaning_backward,2,multiple_candidates,0.26179999113082886,0.9199,0.7616,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000024_CAM02,CAP000024,S001,CAM02,lateral,leaning_backward,2,multiple_candidates,0.4717000126838684,0.8502,0.7114,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000025_CAM01,CAP000025,S001,CAM01,frontal,leaning_backward,2,multiple_candidates,0.25850000977516174,0.9176,0.7477,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000025_CAM02,CAP000025,S001,CAM02,lateral,leaning_backward,2,multiple_candidates,0.46970000863075256,0.8663,0.7214,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000026_CAM01,CAP000026,S001,CAM01,frontal,leaning_left,2,multiple_candidates,0.29820001125335693,0.8919,0.7336,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000026_CAM02,CAP000026,S001,CAM02,lateral,leaning_left,3,multiple_candidates,0.33079999685287476,0.8823,0.7258,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000027_CAM01,CAP000027,S001,CAM01,frontal,leaning_left,2,multiple_candidates,0.33000001311302185,0.7685,0.7637,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000027_CAM02,CAP000027,S001,CAM02,lateral,leaning_left,2,multiple_candidates,0.32440000772476196,0.9308,0.7324,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000028_CAM01,CAP000028,S001,CAM01,frontal,leaning_left,2,multiple_candidates,0.31850001215934753,0.8609,0.7458,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000028_CAM02,CAP000028,S001,CAM02,lateral,leaning_left,3,multiple_candidates,0.32359999418258667,0.9332,0.7407,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000029_CAM01,CAP000029,S001,CAM01,frontal,leaning_left,2,multiple_candidates,0.3172000050544739,0.8691,0.754,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000029_CAM02,CAP000029,S001,CAM02,lateral,leaning_left,1,correct_target,0.3140000104904175,0.935,0.7319,4,Single clean target in frame
S001_SE01_CAP000030_CAM01,CAP000030,S001,CAM01,frontal,leaning_left,2,multiple_candidates,0.32760000228881836,0.7525,0.7618,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000030_CAM02,CAP000030,S001,CAM02,lateral,leaning_left,2,multiple_candidates,0.3228999972343445,0.9298,0.7294,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000031_CAM01,CAP000031,S001,CAM01,frontal,leaning_right,2,multiple_candidates,0.4268999993801117,0.8797,0.7319,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000031_CAM02,CAP000031,S001,CAM02,lateral,leaning_right,3,multiple_candidates,0.4032000005245209,0.8903,0.5864,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000032_CAM01,CAP000032,S001,CAM01,frontal,leaning_right,3,multiple_candidates,0.45820000767707825,0.7708,0.7432,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000032_CAM02,CAP000032,S001,CAM02,lateral,leaning_right,2,multiple_candidates,0.45559999346733093,0.8701,0.5802,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000033_CAM01,CAP000033,S001,CAM01,frontal,leaning_right,3,multiple_candidates,0.45989999175071716,0.7753,0.7413,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000033_CAM02,CAP000033,S001,CAM02,lateral,leaning_right,3,multiple_candidates,0.453900009393692,0.8303,0.5684,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000034_CAM01,CAP000034,S001,CAM01,frontal,leaning_right,2,multiple_candidates,0.4462999999523163,0.9124,0.7716,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000034_CAM02,CAP000034,S001,CAM02,lateral,leaning_right,3,wrong_person_risk,0.00800000037997961,0.2261,0.3426,4,Multiple candidates (3); Default YOLO picks non-target candidate 0!
S001_SE01_CAP000035_CAM01,CAP000035,S001,CAM01,frontal,leaning_right,2,multiple_candidates,0.4424999952316284,0.914,0.779,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000035_CAM02,CAP000035,S001,CAM02,lateral,leaning_right,4,wrong_person_risk,0.008200000040233135,0.1717,0.3261,4,Multiple candidates (4); Default YOLO picks non-target candidate 0!
S001_SE01_CAP000036_CAM01,CAP000036,S001,CAM01,frontal,slouching,2,multiple_candidates,0.296099990606308,0.9338,0.7516,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000036_CAM02,CAP000036,S001,CAM02,lateral,slouching,2,multiple_candidates,0.3312000036239624,0.9239,0.6175,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000037_CAM01,CAP000037,S001,CAM01,frontal,slouching,2,multiple_candidates,0.3140999972820282,0.9235,0.7481,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000037_CAM02,CAP000037,S001,CAM02,lateral,slouching,1,correct_target,0.3319999873638153,0.9265,0.6844,4,Single clean target in frame
S001_SE01_CAP000038_CAM01,CAP000038,S001,CAM01,frontal,slouching,2,multiple_candidates,0.28459998965263367,0.9242,0.7524,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000038_CAM02,CAP000038,S001,CAM02,lateral,slouching,3,multiple_candidates,0.2639999985694885,0.8028,0.6409,4,Multiple candidates (3); Default YOLO correctly aligns with target
S001_SE01_CAP000039_CAM01,CAP000039,S001,CAM01,frontal,slouching,2,multiple_candidates,0.29910001158714294,0.923,0.7442,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000039_CAM02,CAP000039,S001,CAM02,lateral,slouching,2,multiple_candidates,0.2964000105857849,0.9114,0.6525,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000040_CAM01,CAP000040,S001,CAM01,frontal,slouching,2,multiple_candidates,0.3003000020980835,0.9183,0.7745,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000040_CAM02,CAP000040,S001,CAM02,lateral,slouching,2,multiple_candidates,0.3472999930381775,0.9249,0.6968,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000041_CAM01,CAP000041,S001,CAM01,frontal,forward_head,2,multiple_candidates,0.28380000591278076,0.9261,0.7734,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000041_CAM02,CAP000041,S001,CAM02,lateral,forward_head,1,correct_target,0.34209999442100525,0.9188,0.6824,4,Single clean target in frame
S001_SE01_CAP000042_CAM01,CAP000042,S001,CAM01,frontal,forward_head,2,multiple_candidates,0.2786000072956085,0.9316,0.7744,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000042_CAM02,CAP000042,S001,CAM02,lateral,forward_head,1,correct_target,0.33009999990463257,0.9091,0.6874,4,Single clean target in frame
S001_SE01_CAP000043_CAM01,CAP000043,S001,CAM01,frontal,forward_head,2,multiple_candidates,0.2840999960899353,0.9293,0.7724,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000043_CAM02,CAP000043,S001,CAM02,lateral,forward_head,1,correct_target,0.33219999074935913,0.915,0.6963,4,Single clean target in frame
S001_SE01_CAP000044_CAM01,CAP000044,S001,CAM01,frontal,forward_head,2,multiple_candidates,0.2808000147342682,0.9225,0.7718,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000044_CAM02,CAP000044,S001,CAM02,lateral,forward_head,2,multiple_candidates,0.3156999945640564,0.9044,0.6892,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000045_CAM01,CAP000045,S001,CAM01,frontal,forward_head,2,multiple_candidates,0.28189998865127563,0.9243,0.7651,4,Multiple candidates (2); Default YOLO correctly aligns with target
S001_SE01_CAP000045_CAM02,CAP000045,S001,CAM02,lateral,forward_head,1,correct_target,0.3237000107765198,0.911,0.6711,4,Single clean target in frame
S001_SE01_CAP000046_CAM01,CAP000046,S001,CAM01,frontal,reject,5,multiple_candidates,0.37209999561309814,0.9331,0.3582,2,Multiple candidates (5); Default YOLO correctly aligns with target
S001_SE01_CAP000046_CAM02,CAP000046,S001,CAM02,lateral,reject,2,wrong_person_risk,0.40139999985694885,0.6801,0.265,2,Multiple candidates (2); Default YOLO picks non-target candidate 0!
S001_SE01_CAP000047_CAM01,CAP000047,S001,CAM01,frontal,reject,0,no_target_detected,0.0,0.0,0.0,0,Empty chair or subject out of frame
S001_SE01_CAP000047_CAM02,CAP000047,S001,CAM02,lateral,reject,0,no_target_detected,0.0,0.0,0.0,0,Empty chair or subject out of frame
S002_SE01_CAP000048_CAM01,CAP000048,S002,CAM01,frontal,upright,2,multiple_candidates,0.3165000081062317,0.934,0.7157,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000048_CAM02,CAP000048,S002,CAM02,lateral,upright,2,multiple_candidates,0.40799999237060547,0.9192,0.6243,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000049_CAM01,CAP000049,S002,CAM01,frontal,upright,2,multiple_candidates,0.31529998779296875,0.9309,0.71,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000049_CAM02,CAP000049,S002,CAM02,lateral,upright,1,correct_target,0.4092999994754791,0.9299,0.6448,4,Single clean target in frame
S002_SE01_CAP000050_CAM01,CAP000050,S002,CAM01,frontal,upright,2,multiple_candidates,0.3138999938964844,0.9327,0.7109,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000050_CAM02,CAP000050,S002,CAM02,lateral,upright,2,multiple_candidates,0.4081000089645386,0.9278,0.6414,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000051_CAM01,CAP000051,S002,CAM01,frontal,upright,2,multiple_candidates,0.31360000371932983,0.9357,0.704,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000051_CAM02,CAP000051,S002,CAM02,lateral,upright,2,multiple_candidates,0.40799999237060547,0.9335,0.6368,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000052_CAM01,CAP000052,S002,CAM01,frontal,upright,1,correct_target,0.31279999017715454,0.9353,0.7065,4,Single clean target in frame
S002_SE01_CAP000052_CAM02,CAP000052,S002,CAM02,lateral,upright,1,correct_target,0.4081999957561493,0.9297,0.6308,4,Single clean target in frame
S002_SE01_CAP000053_CAM01,CAP000053,S002,CAM01,frontal,leaning_forward,1,correct_target,0.38929998874664307,0.9253,0.7013,4,Single clean target in frame
S002_SE01_CAP000053_CAM02,CAP000053,S002,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3296000063419342,0.9418,0.6161,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000054_CAM01,CAP000054,S002,CAM01,frontal,leaning_forward,2,multiple_candidates,0.38670000433921814,0.925,0.6959,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000054_CAM02,CAP000054,S002,CAM02,lateral,leaning_forward,3,multiple_candidates,0.33329999446868896,0.9285,0.5805,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000055_CAM01,CAP000055,S002,CAM01,frontal,leaning_forward,2,multiple_candidates,0.3878999948501587,0.9254,0.6978,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000055_CAM02,CAP000055,S002,CAM02,lateral,leaning_forward,2,multiple_candidates,0.33410000801086426,0.9289,0.5754,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000056_CAM01,CAP000056,S002,CAM01,frontal,leaning_forward,1,correct_target,0.3880999982357025,0.9263,0.6969,4,Single clean target in frame
S002_SE01_CAP000056_CAM02,CAP000056,S002,CAM02,lateral,leaning_forward,2,multiple_candidates,0.3375000059604645,0.9271,0.5866,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000057_CAM01,CAP000057,S002,CAM01,frontal,leaning_forward,2,multiple_candidates,0.3862999975681305,0.9273,0.6967,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000057_CAM02,CAP000057,S002,CAM02,lateral,leaning_forward,3,multiple_candidates,0.33799999952316284,0.9264,0.5857,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000058_CAM01,CAP000058,S002,CAM01,frontal,leaning_backward,1,correct_target,0.29989999532699585,0.9344,0.7124,4,Single clean target in frame
S002_SE01_CAP000058_CAM02,CAP000058,S002,CAM02,lateral,leaning_backward,4,multiple_candidates,0.5728999972343445,0.8654,0.6817,4,Multiple candidates (4); Default YOLO correctly aligns with target
S002_SE01_CAP000059_CAM01,CAP000059,S002,CAM01,frontal,leaning_backward,1,correct_target,0.29919999837875366,0.9356,0.708,4,Single clean target in frame
S002_SE01_CAP000059_CAM02,CAP000059,S002,CAM02,lateral,leaning_backward,2,multiple_candidates,0.4429999887943268,0.8765,0.6652,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000060_CAM01,CAP000060,S002,CAM01,frontal,leaning_backward,1,correct_target,0.2985999882221222,0.9347,0.7075,4,Single clean target in frame
S002_SE01_CAP000060_CAM02,CAP000060,S002,CAM02,lateral,leaning_backward,2,multiple_candidates,0.459199994802475,0.8609,0.6601,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000061_CAM01,CAP000061,S002,CAM01,frontal,leaning_backward,1,correct_target,0.29910001158714294,0.9351,0.7086,4,Single clean target in frame
S002_SE01_CAP000061_CAM02,CAP000061,S002,CAM02,lateral,leaning_backward,2,multiple_candidates,0.45910000801086426,0.8578,0.6653,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000062_CAM01,CAP000062,S002,CAM01,frontal,leaning_backward,1,correct_target,0.29910001158714294,0.9345,0.7068,4,Single clean target in frame
S002_SE01_CAP000062_CAM02,CAP000062,S002,CAM02,lateral,leaning_backward,2,multiple_candidates,0.5656999945640564,0.8401,0.676,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000063_CAM01,CAP000063,S002,CAM01,frontal,leaning_left,2,multiple_candidates,0.3183000087738037,0.9275,0.7213,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000063_CAM02,CAP000063,S002,CAM02,lateral,leaning_left,1,correct_target,0.336899995803833,0.9209,0.6969,4,Single clean target in frame
S002_SE01_CAP000064_CAM01,CAP000064,S002,CAM01,frontal,leaning_left,2,multiple_candidates,0.31200000643730164,0.9188,0.7435,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000064_CAM02,CAP000064,S002,CAM02,lateral,leaning_left,2,multiple_candidates,0.3368000090122223,0.927,0.6963,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000065_CAM01,CAP000065,S002,CAM01,frontal,leaning_left,2,multiple_candidates,0.3125999867916107,0.9194,0.7411,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000065_CAM02,CAP000065,S002,CAM02,lateral,leaning_left,2,multiple_candidates,0.33869999647140503,0.9269,0.6965,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000066_CAM01,CAP000066,S002,CAM01,frontal,leaning_left,1,correct_target,0.3122999966144562,0.9187,0.7372,4,Single clean target in frame
S002_SE01_CAP000066_CAM02,CAP000066,S002,CAM02,lateral,leaning_left,2,multiple_candidates,0.3375000059604645,0.9229,0.6985,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000067_CAM01,CAP000067,S002,CAM01,frontal,leaning_left,1,correct_target,0.311599999666214,0.9181,0.7449,4,Single clean target in frame
S002_SE01_CAP000067_CAM02,CAP000067,S002,CAM02,lateral,leaning_left,2,multiple_candidates,0.33739998936653137,0.9257,0.6987,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000068_CAM01,CAP000068,S002,CAM01,frontal,leaning_right,2,multiple_candidates,0.34950000047683716,0.9322,0.7325,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000068_CAM02,CAP000068,S002,CAM02,lateral,leaning_right,3,multiple_candidates,0.3880000114440918,0.9256,0.6007,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000069_CAM01,CAP000069,S002,CAM01,frontal,leaning_right,1,correct_target,0.35100001096725464,0.9355,0.7361,4,Single clean target in frame
S002_SE01_CAP000069_CAM02,CAP000069,S002,CAM02,lateral,leaning_right,3,multiple_candidates,0.38609999418258667,0.9234,0.5991,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000070_CAM01,CAP000070,S002,CAM01,frontal,leaning_right,1,correct_target,0.35120001435279846,0.9362,0.7335,4,Single clean target in frame
S002_SE01_CAP000070_CAM02,CAP000070,S002,CAM02,lateral,leaning_right,3,multiple_candidates,0.38499999046325684,0.9196,0.6117,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000071_CAM01,CAP000071,S002,CAM01,frontal,leaning_right,2,multiple_candidates,0.3497999906539917,0.934,0.7304,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000071_CAM02,CAP000071,S002,CAM02,lateral,leaning_right,3,multiple_candidates,0.3831000030040741,0.9202,0.6087,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000072_CAM01,CAP000072,S002,CAM01,frontal,leaning_right,1,correct_target,0.34929999709129333,0.9338,0.7335,4,Single clean target in frame
S002_SE01_CAP000072_CAM02,CAP000072,S002,CAM02,lateral,leaning_right,3,multiple_candidates,0.3855000138282776,0.9174,0.6067,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000073_CAM01,CAP000073,S002,CAM01,frontal,slouching,1,correct_target,0.31470000743865967,0.9221,0.6761,4,Single clean target in frame
S002_SE01_CAP000073_CAM02,CAP000073,S002,CAM02,lateral,slouching,3,multiple_candidates,0.351500004529953,0.9427,0.5942,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000074_CAM01,CAP000074,S002,CAM01,frontal,slouching,2,multiple_candidates,0.311599999666214,0.9291,0.6697,4,Multiple candidates (2); Default YOLO correctly aligns with target
S002_SE01_CAP000074_CAM02,CAP000074,S002,CAM02,lateral,slouching,3,multiple_candidates,0.35929998755455017,0.941,0.6016,4,Multiple candidates (3); Default YOLO correctly aligns with target
S002_SE01_CAP000075_CAM01,CAP000075,S002,CAM01,frontal,slouching,1,correct_target,0.310699999332428,0.9266,0.6745,4,Single clean target in frame
